created_date,dominant_topic,dominant_topic_keywords,count
2021-04-16,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",62
2021-04-15,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",612
2021-04-26,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",491
2021-04-01,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",367
2021-04-29,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",45
2021-04-03,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",49
2021-04-07,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",583
2021-04-08,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",78
2021-04-14,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",652
2021-04-27,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",51
2021-04-21,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",274
2021-04-26,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",52
2021-04-27,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",55
2021-04-02,topic3,"like, people, amp, see, need, please, get, know, help, really",327
2021-04-05,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",91
2021-04-23,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",59
2021-04-21,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",54
2021-04-28,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",288
2021-04-18,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",70
2021-04-14,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",56
2021-04-14,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",71
2021-04-15,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",554
2021-04-30,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",522
2021-04-13,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",57
2021-04-28,topic3,"like, people, amp, see, need, please, get, know, help, really",359
2021-04-16,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",119
2021-04-04,topic3,"like, people, amp, see, need, please, get, know, help, really",351
2021-04-14,topic3,"like, people, amp, see, need, please, get, know, help, really",365
2021-04-04,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",85
2021-04-07,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",77
2021-04-17,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",473
2021-04-02,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",401
2021-04-22,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",638
2021-04-20,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",59
2021-04-15,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",143
2021-04-02,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",83
2021-04-18,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",498
2021-04-02,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",649
2021-04-04,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",65
2021-04-23,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",92
2021-04-20,topic3,"like, people, amp, see, need, please, get, know, help, really",401
2021-04-11,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",434
