date,0,1,2,3
2021-04-01,961,207,204,190
2021-04-02,3873,844,857,378
2021-04-03,9854,2140,2209,563
2021-04-04,20046,4353,4471,753
2021-04-05,35359,7651,7833,884
2021-04-06,56699,12206,12500,1083
2021-04-07,84982,18216,18703,1307
2021-04-08,121200,25859,26675,1468
2021-04-09,166459,35317,36660,1718
2021-04-10,221813,46820,48890,1940
2021-04-11,288368,60593,63588,2174
2021-04-12,367117,76841,80934,2321
2021-04-13,458935,95724,101106,2552
2021-04-14,564768,117445,124324,2841
2021-04-15,685550,142203,150892,3245
2021-04-16,822288,170208,181095,3502
2021-04-17,976108,201673,215182,3765
2021-04-18,1147986,236787,253392,4072
2021-04-19,1338883,275741,295943,4347
2021-04-20,1549826,318693,343048,4590
2021-04-21,1781746,365834,394998,4685
2021-04-22,2035657,417363,452052,4909
2021-04-23,2312499,473457,514434,5129
2021-04-24,2613194,534271,582334,5312
2021-04-25,2938731,600010,655932,5569
2021-04-26,3289914,670849,735404,5763
2021-04-27,3667557,746946,820942,6055
2021-04-28,4072449,828455,912725,6195
2021-04-29,4505587,915557,1010972,6342
2021-04-30,4967832,1008422,1115869,6458
